code,symbol,name,country
EUR,€,Euro,European Union
USD,$,United States (US) dollar,USA
BTC,₿,Bitcoin,Bitcoin
COP,$,Colombian peso,Colombia
HUF,Ft,Hungarian forint,Hungary
ILS,₪,Israeli new shekel,Israel
INR,₹,Indian rupee,India
ISK,kr,Icelandic króna,Iceland
JMD,$,Jamaican dollar,Jamaica
JPY,¥,Japanese yen,Japan
MNT,₮,Mongolian tögrög,Mongolia
PLN,zł,Polish złoty,Poland
SCR,₨,Seychellois rupee,Seychelles
SEK,kr,Swedish krona,Sweden
SGD,$,Singapore dollar,Singapore
THB,฿,Thai baht,Thailand
TRY,₺,Turkish lira,Turkey
CRC,₡,Costa Rican colón,Costa Rica
VND,₫,Vietnamese đồng,Vietnam
ZAR,R,South African rand,South Africa